HDR Global Ocean Bottom Pressure - mean atmospheric load
HDR used to convert Global Mean OBP -> Global Mean Ocean Mass
HDR
HDR Data below is from AOD1B, RL06
HDR This calculation uses AOD1B 'GAD' fields, and integrates over the ocean-area only; due to the definition of 'GAD' (see AOD1B handbook
HDR for further details), the resulting mean value effectively represents 'mean atmospheric mass over the global ocean' for each time 
HDR step.
HDR
HDR USAGE:
HDR To compute 'ocean mass' from 'ocean bottom pressure' GRACE fields, the provided values below need to be subtracted from each grid
HDR point at each time step. The resulting values are then consistent with IB-corrected sea surface height measurements from altimetry. 
HDR This adjustment is also necessary for global sea level budget analyses.
HDR
HDR NOTES (1): the small (negligible at 0.09mm RMS) differences between the two atm ocean-mean estimates provided below arise from small
HDR	           differences in the land-sea-masks and are provided for completeness; in practise, it should make no difference to ocean 
HDR            mass estimates which atm ocean-mass correction is used;
HDR NOTES (2): The AOD1B definition of the reference period is NOT changed, thus anomalies here are relative to the 2003 – 2014 period; 
HDR            this epoch may differ from the GRACE data products epochs, but is trivial to adjust;
HDR
HDR Created: NOV-12, 2019, F.W.Landerer (JPL)
HDR
HDR column description
HDR 1 TIME (year.decimal)
HDR 2 mean atm mass over global ocean (mmH2O) [Note: the underlying land-sea mask is taken from NCL (NCAR)]
HDR 3 mean atm mass over global ocean (mmH2O) [Note: the underlying land-sea mask is the JPL-CRI-Mascon mask SEA_MASK.CRIv01.nc]
HDR
HDR Header_End---------------------------------------
2002.2918 2.61 2.54 
2002.3548 -1.33 -1.46 
2002.6233 7.91 7.59 
2002.7068 1.95 1.73 
2002.7904 -4.51 -4.78 
2002.8740 -3.46 -3.71 
2002.9575 -5.79 -5.98 
2003.0425 -7.55 -7.56 
2003.1233 -3.61 -3.74 
2003.2041 0.11 -0.01 
2003.2877 2.44 2.36 
2003.3575 1.09 1.11 
2003.5384 5.86 5.75 
2003.6233 5.83 5.66 
2003.7068 1.76 1.66 
2003.7890 0.98 0.92 
2003.8740 -4.05 -3.94 
2003.9575 -5.57 -5.45 
2004.0178 -6.24 -6.24 
2004.1284 -4.09 -4.25 
2004.2063 -0.11 -0.28 
2004.2896 3.11 2.92 
2004.3730 2.06 2.09 
2004.4563 1.96 1.88 
2004.5396 9.03 8.86 
2004.6243 5.37 5.03 
2004.7077 1.94 1.65 
2004.7910 -1.00 -1.16 
2004.8743 -2.01 -2.08 
2004.9577 -8.42 -8.50 
2005.0425 -9.04 -8.90 
2005.1233 -5.75 -5.91 
2005.2041 -0.43 -0.67 
2005.2877 1.84 1.65 
2005.3712 1.43 1.26 
2005.4548 6.54 6.34 
2005.5384 6.55 6.32 
2005.6233 7.25 6.94 
2005.7068 1.83 1.68 
2005.7904 -0.64 -0.79 
2005.8740 -3.61 -3.67 
2005.9575 -11.93 -11.94 
2006.0425 -7.18 -7.12 
2006.1233 -3.98 -3.86 
2006.2041 0.36 0.25 
2006.2877 1.98 1.97 
2006.3712 1.92 1.84 
2006.4548 2.24 2.15 
2006.5384 7.61 7.35 
2006.6233 3.28 2.93 
2006.7068 1.54 1.27 
2006.7904 1.04 0.91 
2006.8740 -4.75 -4.84 
2006.9575 -5.81 -5.75 
2007.0425 -7.51 -7.42 
2007.1233 -0.90 -1.01 
2007.2041 -2.88 -3.09 
2007.2877 -0.26 -0.29 
2007.3712 1.34 1.34 
2007.4548 4.96 4.83 
